Id,SalePrice
2658,348.13393846483524
2718,452.4936128503891
2414,452.1859095785009
1989,329.375033917373
625,419.2983447937643
333,305.0838908419351
1327,324.8028274074185
858,389.8674431652658
95,438.193439409029
1568,404.2439831970533
2482,423.0479220310329
1364,312.77436013304464
2584,389.2241498681924
818,561.9042534220551
2673,382.0753323599348
2089,331.6246930160763
1297,397.93808436838265
790,346.7252894069588
2616,429.9422390692382
720,403.0509104807149
222,376.0682521995599
557,363.15929823324217
1148,455.31334977611635
2766,389.69942293854933
534,405.834258071182
1452,346.22095275987033
630,377.4705104594798
2648,367.51696709472577
125,386.9774912486366
1904,272.1195880172029
1670,356.44054466052376
756,337.07281343961836
717,468.6051361936709
1032,399.51635498582516
852,469.66371423370856
1731,409.9722422404103
2639,354.28460489051565
2071,255.1806866457523
1267,328.5871114298999
1851,423.77563826368487
567,406.5464568625653
2439,450.4713495833402
1898,385.25890588648826
647,380.17873935392254
2256,473.39633953336926
979,299.04853634867413
1444,470.80856125196425
2485,338.760997911107
157,351.04094287733597
88,370.20974916649595
2003,330.82371759748605
186,391.0917441976079
1425,478.4214805919802
2695,336.0943751455996
738,345.9457328100703
395,374.50565594258194
1353,393.36186134282343
1878,388.0079241149406
390,398.2397060522094
1456,487.5375342969692
1103,554.2979583510128
1387,356.9230259450638
2070,385.44502358726925
1199,409.9532237119415
2479,429.08438777190213
501,551.0474128104919
2362,319.3035709673042
1718,470.62104193472186
2188,290.2784815071884
1483,406.911860929516
2557,313.59720145748867
437,606.7117465113763
2224,473.34164984393135
1628,400.3305107919226
397,367.15358060383653
587,443.9124536729132
971,363.05316683119486
2611,374.76351412481154
1887,298.2815945987403
2399,599.7121164380469
2148,443.56965679676034
304,325.4268905223778
1997,355.41352287628047
2817,359.7178528551816
1431,433.8856688713544
427,625.675020546588
263,352.8673916160783
598,411.9741651253085
2895,448.242393142394
687,373.3775671879642
1822,360.81088492489323
2191,316.96507595977243
179,310.7661956233776
1009,475.0760552446855
2010,349.63119671029824
1991,363.41136708958345
1411,404.8759036340073
1721,498.6764789849403
1144,449.62872162570704
593,447.0234341962364
575,553.7101424618131
1249,422.0616123092552
1604,355.7811891182756
1064,668.0813163037526
1923,390.5549584665166
1988,317.543296914311
2325,428.8006624373008
114,455.6161511968934
2700,429.6778718767891
217,385.2908573901367
343,409.7831821169941
386,467.8422369447833
2005,332.1793886038547
2908,364.3986715313523
1814,461.46779676235565
2446,662.5962626292553
208,376.9654035346733
1679,332.93920437601344
822,578.9497673745464
6,447.2350971688977
1781,631.538003355246
2397,534.6232807090187
2340,553.9173363934399
1618,413.7202432141502
2843,413.0025332449102
1061,607.9057761786614
2786,344.1580606455657
1935,359.40365005188687
1341,372.13444468305283
521,481.97840693457465
2136,376.8622806113954
996,451.42098038975905
227,397.6427770242552
135,393.31945023432434
1167,413.2316785450114
294,493.72223433195103
1776,449.1702180926472
540,391.87905321510175
1717,470.62104193472186
2303,353.8402940031998
116,427.21056421289137
127,374.13644767263685
1371,322.6303000281291
1014,418.37589957088846
1507,278.1700613977806
702,381.90601885457664
750,379.6656825876237
261,389.8425296092663
1559,253.7900184844172
577,475.41878414462377
2812,436.7908462226817
2080,391.12676965750336
1368,307.21851462819023
2376,360.40187255441083
659,307.6533622450877
1235,364.06210513859304
332,274.1372118309337
1917,364.1388557399897
2094,509.6116572877308
1460,500.96023085827926
1471,460.3732255072672
1509,334.0891878539326
1922,354.54459145034843
433,685.2785283693763
460,534.3661463841366
1116,491.7045031384118
1137,406.99326314320615
53,416.5713756671733
2354,517.4233631121895
1475,451.45054559692784
